algo,seed,backbone,stage,rel_spread,eff_rank,cos_raw,n_cols_nonconst,n_cols_varying,relstd_ch_gain,relstd_sinr_embb,relstd_sinr_urllc,relstd_q_embb,relstd_urllc_backlog,relstd_viol_ewma,relstd_prev_alloc_lag2,relstd_prev_alloc
gnn-mappo_gat,54,gat,input,0.11228934056414681,1.9811496826475667,0.9843601693582379,5.0,4.0,0.056637930451150405,1.2817286561601033,0.013079782590982506,2.0,0.002900662719274313,0.0,0.0,0.0
gnn-mappo_gat,54,gat,conv1_pre,0.0001962840741723746,2.9579590872531907,0.999999952304244,,,,,,,,,,
gnn-mappo_gat,54,gat,conv1_act,0.00019796992540674664,2.9429607313181334,0.9999999510982658,,,,,,,,,,
gnn-mappo_gat,54,gat,conv2,2.415938199074631e-07,3.2376475579432604,0.9999999999999428,,,,,,,,,,
gnn-mappo_gat,55,gat,input,0.15301873513756467,3.263472223131315,0.9711683692621212,6.0,6.0,0.056637930451150405,0.013079782590982506,1.2817286561601033,0.2935985322777026,1.2247450443817043,1.8548769067896866,0.0,0.0
gnn-mappo_gat,55,gat,conv1_pre,0.00402705162642376,2.8735258072423853,0.9999838688069682,,,,,,,,,,
gnn-mappo_gat,55,gat,conv1_act,0.003926967703862801,2.8777603328346713,0.9999845970458969,,,,,,,,,,
gnn-mappo_gat,55,gat,conv2,0.00017506263771695365,1.4143444588276994,0.9999999985473348,,,,,,,,,,
gnn-mappo_gat,56,gat,input,0.3803160891595181,2.761159185779072,0.8334481994905376,6.0,6.0,0.056637930451150405,0.7680528498563456,1.0697727581023977,1.2295103927684587,0.816958526504658,1.447651288799379,0.0,0.0
gnn-mappo_gat,56,gat,conv1_pre,0.009011985488034217,2.7298889856746773,0.9999077775330806,,,,,,,,,,
gnn-mappo_gat,56,gat,conv1_act,0.008843763017569724,2.7343039126784685,0.9999111359792426,,,,,,,,,,
gnn-mappo_gat,56,gat,conv2,0.0003656362002951957,1.6957869875649736,0.9999999897389167,,,,,,,,,,
gnn-mappo_gat,57,gat,input,0.3509275225291971,3.420606279966082,0.8582808955007677,6.0,6.0,0.056637930451150405,0.5623891123326162,1.2108601679130748,1.2250764164149583,1.2247455268724254,1.924029167868723,0.0,0.0
gnn-mappo_gat,57,gat,conv1_pre,0.014399417863273346,2.615676969934495,0.999746178577019,,,,,,,,,,
gnn-mappo_gat,57,gat,conv1_act,0.014083094205944717,2.659662132198636,0.999755537245921,,,,,,,,,,
gnn-mappo_gat,57,gat,conv2,0.0006890930725535499,1.8025358092866073,0.999999901303944,,,,,,,,,,
gnn-mappo_gat,58,gat,input,0.13882199244812893,2.965993093328351,0.9762414730224901,6.0,6.0,0.056637930451150405,0.013079782590982506,1.2817286561601033,0.10162463593033046,1.2532133863383892,2.0,0.0,0.0
gnn-mappo_gat,58,gat,conv1_pre,0.00046629512087859,3.3053526234775115,0.9999997292942113,,,,,,,,,,
gnn-mappo_gat,58,gat,conv1_act,0.0004256179667708573,3.2934284109201024,0.9999997742549926,,,,,,,,,,
gnn-mappo_gat,58,gat,conv2,6.264016043634167e-07,3.0514427414813383,0.9999999999995233,,,,,,,,,,
gnn-mappo_gat,59,gat,input,0.42364515470182484,2.5693435441255503,0.7975836609692323,6.0,6.0,0.056637930451150405,1.1403731837767093,0.6767178422412677,2.0,0.5042303001680066,0.9189620486305242,0.0,0.0
gnn-mappo_gat,59,gat,conv1_pre,0.003345428860659532,2.0134458427852153,0.9999860206332698,,,,,,,,,,
gnn-mappo_gat,59,gat,conv1_act,0.003455045283445214,1.9781260910694198,0.9999850883076858,,,,,,,,,,
gnn-mappo_gat,59,gat,conv2,4.948055558618926e-07,1.955271976496698,0.999999999999724,,,,,,,,,,
gnn-mappo_gat,60,gat,input,0.39165276609784616,3.409025730285917,0.8274042320677013,6.0,6.0,0.056637930451150405,0.7680528498563456,1.0697727581023977,1.2257889326460802,1.2251758577640912,2.0,0.0,0.0
gnn-mappo_gat,60,gat,conv1_pre,0.0016443241588445531,3.311550666091221,0.9999967219292776,,,,,,,,,,
gnn-mappo_gat,60,gat,conv1_act,0.0015712451091256833,3.298674315787827,0.9999969903392097,,,,,,,,,,
gnn-mappo_gat,60,gat,conv2,2.3900032503699164e-06,3.1146870341056796,0.9999999999946759,,,,,,,,,,
gnn-mappo_gat,61,gat,input,0.35034768606742567,3.4132171164191414,0.8588130624645082,6.0,6.0,0.056637930451150405,0.5623891123326162,1.2108601679130748,1.2252881761117773,1.2247455268724254,1.8836809574924507,0.0,0.0
gnn-mappo_gat,61,gat,conv1_pre,0.010030504401301498,3.197930382098382,0.9998804607693369,,,,,,,,,,
gnn-mappo_gat,61,gat,conv1_act,0.00991553835089081,3.201360970388212,0.9998816308835412,,,,,,,,,,
gnn-mappo_gat,61,gat,conv2,0.00042712701345808476,2.0867446579797804,0.9999999621475626,,,,,,,,,,
gnn-mappo_sage,42,sage,input,0.14029576242102,3.0186658866396248,0.9757285463752347,6.0,6.0,0.056637930451150405,0.013079782590982506,1.2817286561601033,0.1183255420553874,1.2404007623595668,2.0,0.0,0.0
